Rank,Country,Years,Date
143,Azerbaijan,72.2,2015 est.
144,Greenland,72.1,2015 est.
145,Guatemala,72.02,2015 est.
146,Suriname,71.97,2015 est.
147,Cabo Verde,71.85,2015 est.
148,Ukraine,71.57,2015 est.
149,Iran,71.15,2015 est.
150,Honduras,71,2015 est.
151,Bangladesh,70.94,2015 est.
152,Kazakhstan,70.55,2015 est.
153,Russia,70.47,2015 est.
154,Moldova,70.42,2015 est.
155,Kyrgyzstan,70.36,2015 est.
156,"Korea, North",70.11,2015 est.
157,Turkmenistan,69.78,2015 est.
158,Bhutan,69.51,2015 est.
159,Mongolia,69.29,2015 est.
160,Philippines,68.96,2015 est.
161,Bolivia,68.86,2015 est.
162,Belize,68.59,2015 est.
163,India,68.13,2015 est.
164,Guyana,68.09,2015 est.
165,Timor-Leste,67.72,2015 est.
166,Nepal,67.52,2015 est.
167,Pakistan,67.39,2015 est.
168,Tajikistan,67.39,2015 est.
169,Papua New Guinea,67.03,2015 est.
170,Nauru,66.75,2015 est.
171,Burma,66.29,2015 est.
172,Ghana,66.18,2015 est.
173,Tuvalu,66.16,2015 est.
174,Kiribati,65.81,2015 est.
175,Madagascar,65.55,2015 est.
176,Yemen,65.18,2015 est.
177,"Gambia, The",64.6,2015 est.
178,Sao Tome and Principe,64.58,2015 est.
179,Togo,64.51,2015 est.
180,Cambodia,64.14,2015 est.
181,Laos,63.88,2015 est.
182,Comoros,63.85,2015 est.
183,Equatorial Guinea,63.85,2015 est.
184,Eritrea,63.81,2015 est.
185,Kenya,63.77,2015 est.
186,Sudan,63.68,2015 est.
187,Haiti,63.51,2015 est.
188,Djibouti,62.79,2015 est.
189,Mauritania,62.65,2015 est.
190,Western Sahara,62.64,2015 est.
191,South Africa,62.34,2015 est.
192,Tanzania,61.71,2015 est.
193,Ethiopia,61.48,2015 est.
194,Benin,61.47,2015 est.
195,Senegal,61.32,2015 est.
196,Malawi,60.66,2015 est.
197,Burundi,60.09,2015 est.
198,Guinea,60.08,2015 est.
199,Rwanda,59.67,2015 est.
200,"Congo, Republic of the",58.79,2015 est.
201,Liberia,58.6,2015 est.
202,Cote d'Ivoire,58.34,2015 est.
203,Cameroon,57.93,2015 est.
204,Sierra Leone,57.79,2015 est.
205,Zimbabwe,57.05,2015 est.
206,"Congo, Democratic Republic of the",56.93,2015 est.
207,Angola,55.63,2015 est.
208,Mali,55.34,2015 est.
209,Niger,55.13,2015 est.
210,Burkina Faso,55.12,2015 est.
211,Uganda,54.93,2015 est.
212,Botswana,54.18,2015 est.
213,Nigeria,53.02,2015 est.
214,Mozambique,52.94,2015 est.
215,Lesotho,52.86,2015 est.
216,Zambia,52.15,2015 est.
217,Gabon,52.04,2015 est.
218,Somalia,51.96,2015 est.
219,Central African Republic,51.81,2015 est.
220,Namibia,51.62,2015 est.
221,Swaziland,51.05,2015 est.
222,Afghanistan,50.87,2015 est.
223,Guinea-Bissau,50.23,2015 est.
224,Chad,49.81,2015 est.
